URL: /
Timestamp: Sat Jun 10 2023 11:00:17 GMT-0500 (Central Daylight Time)
::1 - - [28/Jul/2023:14:06:21 +0000] "PUT /users/1 HTTP/1.1" 200 157 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:07:56 +0000] "PUT /users/2 HTTP/1.1" 200 156 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:08:03 +0000] "PUT /users/1 HTTP/1.1" 200 157 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:17:47 +0000] "POST /users/1/The%20Avengers HTTP/1.1" 404 162 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:23:57 +0000] "POST /users/1/The%20Avengers HTTP/1.1" 404 162 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:24:53 +0000] "POST /users/1/Top%20Gun HTTP/1.1" 404 157 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:26:36 +0000] "POST /users/1/Top%20Gun HTTP/1.1" 404 157 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:36:19 +0000] "DELETE /users/2/Top%20Gun HTTP/1.1" 404 159 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:38:06 +0000] "DELETE /users/2/Top%20Gun HTTP/1.1" 404 159 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:42:41 +0000] "POST /users/1/Top%20Gun HTTP/1.1" 404 157 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:42:54 +0000] "POST /users/1/Top%20Gun HTTP/1.1" 404 157 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:43:01 +0000] "DELETE /users/2/Top%20Gun HTTP/1.1" 404 159 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:45:18 +0000] "DELETE /users/2/Top%20Gun HTTP/1.1" 404 159 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:51:35 +0000] "DELETE /users/2/Top%20Gun HTTP/1.1" 200 44 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:14:52:27 +0000] "POST /users/1/Top%20Gun HTTP/1.1" 200 40 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:15:02:46 +0000] "DELETE /users/2 HTTP/1.1" 404 149 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:15:04:29 +0000] "DELETE /users/2 HTTP/1.1" 404 149 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:15:11:53 +0000] "DELETE /users/2 HTTP/1.1" 200 23 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:15:59:22 +0000] "PUT /users/1 HTTP/1.1" 200 49 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:15:59:32 +0000] "PUT /users/1 HTTP/1.1" 200 49 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:16:02:42 +0000] "PUT /users/1 HTTP/1.1" 200 49 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:16:03:25 +0000] "PUT /users/1 HTTP/1.1" 200 49 "-" "PostmanRuntime/7.32.3"
::1 - - [28/Jul/2023:16:28:26 +0000] "GET /movies/The%20Avengers HTTP/1.1" 200 249 "-" "PostmanRuntime/7.32.3"
